"year","duration","years","track","artist"
"2010","2.55","Years 2010-2019","No Excuses","Meghan Trainor"
"2010","3.47","Years 2010-2019","Company","Justin Bieber"
"2010","2.18","Years 2010-2019","Jingle Bell Rock","Bobby Helms"
"2010","3.22","Years 2010-2019","The Only Way I Know","Jason Aldean With Luke Bryan & Eric Church"
"2010","3.87","Years 2010-2019","Malibu","Miley Cyrus"
"2010","3.89","Years 2010-2019","Slide Away","Miley Cyrus"
"2010","2.18","Years 2010-2019","Mine","Bazzi"
"2010","4.31","Years 2010-2019","X","21 Savage & Metro Boomin Featuring Future"
"2010","4","Years 2010-2019","Storm Warning","Hunter Hayes"
"2010","4.36","Years 2010-2019","Lookin' For That Girl","Tim McGraw"
"2010","2.95","Years 2010-2019","Everybody Talks","Neon Trees"
"2010","3.87","Years 2010-2019","Delicate","Taylor Swift"
"2010","3.23","Years 2010-2019","Runnin' Outta Moonlight","Randy Houser"
"2010","4.48","Years 2010-2019","Ghostface Killers","""21 Savage, Offset & Metro Boomin Featuring Travis Scott"""
"2010","3.37","Years 2010-2019","Juicy","Doja Cat & Tyga"
"2010","5.35","Years 2010-2019","All I Know","The Weeknd Featuring Future"
"2010","4.01","Years 2010-2019","Every Teardrop Is A Waterfall","Coldplay"
"2010","3.28","Years 2010-2019","Everything To Me","Monica"
"2010","3.46","Years 2010-2019","Say Aah","Trey Songz Featuring Fabolous"
"2010","4.21","Years 2010-2019","The Outsiders","Eric Church"
"2010","3.72","Years 2010-2019","Feels","""Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean"""
"2010","3.54","Years 2010-2019","Ain't Worried About Nothin","French Montana"
"2010","3.11","Years 2010-2019","Round & Round","Selena Gomez & The Scene"
"2010","3.54","Years 2010-2019","Fast Car","Jonas Blue Featuring Dakota"
"2010","3.48","Years 2010-2019","Desperate Man","Eric Church"
"2010","3.48","Years 2010-2019","(If You're Wondering If I Want You To) I Want You To","Weezer"
"2010","3.52","Years 2010-2019","For Her","Chris Lane"
"2010","4.08","Years 2010-2019","End Game","Taylor Swift Featuring Ed Sheeran & Future"
"2010","3.85","Years 2010-2019","Better Now","Post Malone"
"2010","3.88","Years 2010-2019","(Kissed You) Good Night","Gloriana"
"2010","3.84","Years 2010-2019","Blue Ain't Your Color","Keith Urban"
"2010","3.6","Years 2010-2019","Don't Go Breaking My Heart","Backstreet Boys"
"2010","4.58","Years 2010-2019","Prisoner","The Weeknd Featuring Lana Del Rey"
"2010","3.35","Years 2010-2019","Lost In Japan","Shawn Mendes X Zedd"
"2010","3.23","Years 2010-2019","Me And My Broken Heart","Rixton"
"2010","3.21","Years 2010-2019","Miss Me More","Kelsea Ballerini"
"2010","3.34","Years 2010-2019","Get Ugly","Jason Derulo"
"2010","4.18","Years 2010-2019","Cranes In The Sky","Solange"
"2010","3.21","Years 2010-2019","You And Your Heart","Jack Johnson"
"2010","3.86","Years 2010-2019","I Like It","Enrique Iglesias Featuring Pitbull"
"2010","3.96","Years 2010-2019","Hello","Karmin"
"2010","3.18","Years 2010-2019","Ready Set Roll","Chase Rice"
"2010","3.22","Years 2010-2019","Girl Crush","Little Big Town"
"2010","4.49","Years 2010-2019","All Of Me","John Legend"
"2010","3.62","Years 2010-2019","You","Jacquees"
"2010","3.74","Years 2010-2019","That's How Country Boys Roll","Billy Currington"
"2010","3.33","Years 2010-2019","Super Bass","Nicki Minaj"
"2010","3.25","Years 2010-2019","Everyday","Ariana Grande Featuring Future"
"2010","2.67","Years 2010-2019","Booty","Blac Youngsta"
"2010","1.79","Years 2010-2019","Jorja Interlude","Drake"
"2010","2.62","Years 2010-2019","Unforgettable","Thomas Rhett"
"2010","2.2","Years 2010-2019","Everytime","Ariana Grande"
"2010","3.42","Years 2010-2019","Cold One","Eric Church"
"2010","2.7","Years 2010-2019","Rotten To The Core","""Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson"""
"2010","3.65","Years 2010-2019","Listen","Glee Cast"
"2010","4.14","Years 2010-2019","Not Afraid","Eminem"
"2010","3.19","Years 2010-2019","Every Breath You Take","Hannah Huston"
"2010","3.14","Years 2010-2019","I Like It Like That","Hot Chelle Rae Featuring New Boyz"
"2010","3.35","Years 2010-2019","Who's That Chick?","David Guetta Featuring Rihanna"
"2010","3.88","Years 2010-2019","Body","Dreezy Featuring Jeremih"
"2010","4.01","Years 2010-2019","Good Old Days","Macklemore Featuring Kesha"
"2010","4.14","Years 2010-2019","The Sound Of Silence","Disturbed"
"2010","1.61","Years 2010-2019","Baby Shark","Pinkfong"
"2010","4.09","Years 2010-2019","Controlla","Drake"
"2010","4.12","Years 2010-2019","I Don't Wanna Live Forever (Fifty Shades Darker)","Zayn / Taylor Swift"
"2010","3.55","Years 2010-2019","Come Get Her","Rae Sremmurd"
"2010","3.74","Years 2010-2019","Riff Off: Mickey / Like A Virgin / Hit Me With Your Best Shot...","""The Barden Bellas, The Treblemakers & The BU Harmonics"""
"2010","8.93","Years 2010-2019","Oceans (Where Feet May Fail)","Hillsong UNITED"
"2010","3.88","Years 2010-2019","Call Casting","Migos"
"2010","4.64","Years 2010-2019","Get You","Daniel Caesar Featuring Kali Uchis"
"2010","3.05","Years 2010-2019","Mistletoe","Justin Bieber"
"2010","2.83","Years 2010-2019","W O R K I N  M E","Quavo"
"2010","3.78","Years 2010-2019","A Lie","French Montana Featuring The Weeknd & Max B"
"2010","4.01","Years 2010-2019","Planez","Jeremih Featuring J. Cole"
"2010","3.98","Years 2010-2019","Rockstar 101","Rihanna Featuring Slash"
"2010","3.38","Years 2010-2019","Love You Like That","Canaan Smith"
